x,y,z
0.032349,-0.020752,1.0605
0.019775,-0.020386,1.0891
0.00354,-0.010986,0.93164
-0.0025635,-0.0043945,0.97717
-0.0096436,0.0012207,0.97766
-0.01416,-0.0046387,0.97827
-0.008667,-0.001709,0.97827
-0.00085449,-0.0058594,0.97461
-0.0013428,-0.00048828,0.97961
-0.012329,-0.00012207,0.9751
-0.013428,-0.0026855,0.97754
-0.0090332,-0.0039062,0.97034
-0.00036621,-0.00024414,0.97156
-0.0039062,0.00085449,0.974
-0.013428,-0.0039062,0.979
-0.014526,-0.0045166,0.9751
-0.0074463,-0.0012207,0.97534
-0.0010986,0.00354,0.97363
-0.0048828,-0.0023193,0.97144
-0.015259,-0.00354,0.97314
-0.014526,-0.0037842,0.96924
-0.0045166,-0.00012207,0.97205
-0.00036621,0.00024414,0.97266
-0.0048828,-0.0015869,0.97485
-0.01355,-0.001709,0.97742
-0.011108,-0.0026855,0.97583
-0.0032959,-0.00097656,0.96924
0.00036621,-0.0023193,0.97449
-0.0081787,0.0010986,0.96924
-0.015137,-0.0026855,0.97449
-0.013062,-0.0024414,0.97473
-0.00354,-0.0065918,0.97461
-0.0013428,0.0040283,0.97705
-0.0085449,0.00048828,0.97473
-0.015625,-0.00048828,0.97351
-0.011963,-0.0093994,0.96997
-0.0013428,0.00061035,0.9729
-0.00061035,0.00061035,0.97314
-0.010132,0.001709,0.97839
-0.014282,-0.0045166,0.97437
-0.0073242,-0.0018311,0.97595
-0.00073242,-0.0014648,0.97314
-0.0012207,0,0.97522
-0.012451,-0.0018311,0.97546
-0.016357,-0.0028076,0.97656
-0.0096436,0.0010986,0.97485
-0.0032959,-0.0019531,0.97583
-0.0047607,-0.0026855,0.97583
-0.010498,-0.0030518,0.97546
-0.011963,-0.0014648,0.97705
-0.0068359,-0.0021973,0.9729
-0.00097656,-0.00073242,0.97607
-0.0043945,-0.00061035,0.97827
-0.013794,0.00085449,0.97815
-0.014038,-0.005249,0.97473
-0.0045166,-0.0031738,0.97693
0.00097656,0.00073242,0.97156
-0.0063477,0.00048828,0.97949
-0.014648,-0.00097656,0.97241
-0.011841,-0.006958,0.979
-0.0053711,-0.0012207,0.97742
-0.0010986,0.00048828,0.97961
-0.0073242,0.0025635,0.9801
-0.015869,-0.0057373,0.97754
-0.011841,-0.0012207,0.9751
-0.0036621,-0.00354,0.974
