x,y,z
0.1073,0.12036,0.9917
-0.16357,0.12415,0.92151
-0.21423,-0.064209,0.95007
0.031616,-0.18152,1.0258
0.21411,-0.0041504,1.0654
0.081909,0.13062,0.97717
-0.19348,0.10864,0.92163
-0.19409,-0.088745,0.95642
0.071289,-0.16919,1.038
0.20728,0.018311,1.0594
0.048706,0.13928,0.96423
-0.2146,0.088501,0.92749
-0.17188,-0.10913,0.96191
0.11304,-0.1582,1.0563
0.19385,0.042114,1.0446
0.014526,0.14856,0.95459
-0.22424,0.064087,0.92993
-0.14417,-0.1322,0.97461
0.13855,-0.13733,1.0555
0.18372,0.063232,1.0374
-0.021729,0.14624,0.94189
-0.23938,0.04248,0.93079
-0.11584,-0.15686,0.98511
0.1687,-0.11572,1.0658
0.17017,0.086182,1.0244
-0.061035,0.15503,0.93286
-0.24243,0.01123,0.93762
-0.079346,-0.16748,0.99243
0.19312,-0.088501,1.0735
0.15173,0.10217,1.0103
-0.10254,0.14832,0.92664
-0.23926,-0.016479,0.93762
-0.040649,-0.1781,1.0044
0.20801,-0.059326,1.0707
0.13098,0.11462,1.0021
-0.13904,0.1344,0.9209
-0.22607,-0.03894,0.94409
0.0026855,-0.17944,1.0181
0.21375,-0.029053,1.0708
0.10425,0.12122,0.99219
-0.17261,0.12695,0.91882
-0.21143,-0.066406,0.95154
0.037476,-0.17603,1.0243
0.21436,-0.0043945,1.0692
0.076294,0.13318,0.97534
-0.19788,0.10327,0.92273
-0.1925,-0.098145,0.95801
0.078735,-0.16809,1.0393
0.20886,0.025635,1.0541
0.045044,0.14331,0.96667
-0.21985,0.078857,0.92017
-0.16748,-0.12341,0.96924
0.11597,-0.15393,1.0514
0.19727,0.049927,1.0439
0.0076904,0.14868,0.95129
-0.23474,0.060669,0.92676
-0.1355,-0.14258,0.97815
0.15027,-0.12891,1.061
0.1864,0.069702,1.0338
-0.034912,0.15674,0.9397
-0.24304,0.034302,0.9364
-0.10571,-0.16101,0.98767
0.17346,-0.1106,1.071
0.16675,0.083252,1.0156
-0.074585,0.15063,0.94104
-0.24231,0.0015869,0.9248
-0.071411,-0.17468,1
0.19714,-0.081909,1.0698
0.14893,0.10046,1.0101
-0.11182,0.14514,0.92871
-0.23718,-0.021973,0.93591
-0.031616,-0.18005,1.0076
