x,y,z
0.087891,0.03772,1.0043
-0.047729,0.093384,0.95972
-0.13196,0.017456,0.94739
-0.039429,-0.093994,0.9895
0.10181,-0.0625,1.0406
0.079224,0.050537,0.99841
-0.05835,0.085815,0.95569
-0.12756,0.0042725,0.94739
-0.02002,-0.097412,0.99658
0.10706,-0.048828,1.0332
0.063477,0.058228,0.99866
-0.081299,0.081421,0.95251
-0.12854,-0.0093994,0.94885
0,-0.10132,1.001
0.10767,-0.031616,1.0363
0.051392,0.063477,0.98926
-0.093506,0.078369,0.95081
-0.11646,-0.02417,0.9574
0.016235,-0.104,1.0061
0.11023,-0.02002,1.0295
0.030762,0.074219,0.98486
-0.10803,0.067383,0.94885
-0.10767,-0.04248,0.95386
0.035767,-0.099854,1.0165
0.10767,-0.0067139,1.0259
0.013916,0.082275,0.97632
-0.11511,0.056641,0.9436
-0.094482,-0.056396,0.9635
0.056885,-0.096313,1.0165
0.10291,0.013062,1.019
-0.0043945,0.082397,0.97632
-0.12561,0.048462,0.948
-0.075928,-0.069214,0.96948
0.068115,-0.085449,1.0267
0.098145,0.019043,1.017
-0.022339,0.088501,0.96375
-0.12598,0.036255,0.94983
-0.059448,-0.078125,0.97607
0.087769,-0.076172,1.0284
0.090088,0.034302,1.005
-0.042603,0.088989,0.96912
-0.1322,0.021362,0.94592
-0.042358,-0.091187,0.98364
0.095703,-0.062622,1.0342
0.076172,0.048828,1.0001
-0.058594,0.089233,0.95813
-0.13074,0.006958,0.95105
-0.020386,-0.10022,0.99097
0.10449,-0.048584,1.0311
0.066406,0.057861,1
-0.079468,0.084106,0.95618
-0.12695,-0.0080566,0.95117
-0.005127,-0.10266,0.99805
0.10742,-0.033936,1.0328
0.04895,0.064697,0.98633
-0.092285,0.078369,0.95435
-0.11975,-0.022095,0.9541
0.016479,-0.1012,1.0032
0.11353,-0.024536,1.0262
0.035156,0.07312,0.98535
-0.10352,0.07019,0.95166
-0.10864,-0.034668,0.96106
0.035278,-0.10364,1.0112
0.10596,-0.008667,1.0239
0.017822,0.075684,0.97241
-0.11658,0.063232,0.94763
-0.095581,-0.054077,0.96948
0.051636,-0.093994,1.0173
0.10693,0.0078125,1.0188
-0.00097656,0.084717,0.97278
-0.12317,0.044678,0.95178
-0.078247,-0.067017,0.97144
0.070557,-0.085449,1.0303
0.098022,0.023071,1.011
-0.023438,0.08667,0.96277
-0.13025,0.034424,0.94556
-0.065552,-0.080933,0.98096
0.085449,-0.07666,1.033
0.091553,0.035889,1.0062
-0.039185,0.087402,0.96375
-0.13318,0.023926,0.94653
-0.041748,-0.093018,0.98767
0.096313,-0.06604,1.0377
0.0802,0.04541,1.0004
-0.059448,0.090454,0.9519
-0.13245,0.0097656,0.95337
-0.025513,-0.10022,0.99658
0.10693,-0.052002,1.036
0.067505,0.057861,0.9967
-0.075073,0.088379,0.9574
-0.12671,-0.0083008,0.94653
-0.0043945,-0.10278,1.0028
0.10974,-0.036743,1.0353
0.051758,0.06604,0.98669
-0.090088,0.07666,0.9502
-0.12244,-0.022217,0.95447
0.013428,-0.10364,1.0066
0.10913,-0.018677,1.032
0.03772,0.070557,0.98718
-0.10547,0.068359,0.94849
-0.10645,-0.038452,0.95569
0.034424,-0.099731,1.015
0.10742,-0.0062256,1.0283
0.016113,0.078735,0.9751
-0.11597,0.059204,0.94946
-0.097778,-0.055054,0.9646
0.051147,-0.094971,1.022
0.10522,0.006958,1.0219
-0.0053711,0.087646,0.97522
-0.1239,0.049805,0.94617
-0.079712,-0.070068,0.96741
0.07373,-0.090454,1.0283
0.098267,0.022217,1.0122
-0.018433,0.0896,0.96521
-0.12988,0.038208,0.94617
-0.062012,-0.08252,0.97693
0.085449,-0.076782,1.0253
