x,y,z
-0.046509,0.16443,0.9425
-0.22498,0.19153,0.90344
-0.097656,-0.14856,0.9978
0.18567,-0.27661,1.0909
0.17029,0.092651,1.0093
-0.067139,0.19165,0.93762
-0.22729,0.1427,0.9115
-0.062988,-0.20068,1.0135
0.21606,-0.23376,1.0891
0.14075,0.10645,0.99976
-0.098389,0.21204,0.92493
-0.22937,0.10437,0.92053
-0.040649,-0.25403,1.0256
0.24036,-0.18457,1.0867
0.098755,0.11829,0.9884
-0.13306,0.24792,0.91931
-0.2207,0.055664,0.92383
-0.018677,-0.30725,1.0419
0.25171,-0.13135,1.0818
0.064087,0.1239,0.97632
-0.16382,0.255,0.91138
-0.22034,0.019775,0.93945
0.015625,-0.33398,1.0531
0.24585,-0.061035,1.064
0.024414,0.12366,0.9696
-0.19641,0.25537,0.90979
-0.19592,-0.022095,0.94495
0.04541,-0.3407,1.0715
0.24524,-0.0073242,1.0532
-0.0028076,0.13074,0.94971
-0.21118,0.23889,0.91248
-0.16174,-0.062134,0.96765
0.10461,-0.32361,1.078
0.22156,0.044922,1.0376
-0.031006,0.15039,0.9458
-0.21375,0.20862,0.90527
-0.12537,-0.11694,0.98413
0.14929,-0.2948,1.0924
0.20093,0.084717,1.0255
-0.053345,0.1665,0.93311
-0.2262,0.177,0.90869
-0.08252,-0.17126,1.0052
0.20215,-0.26111,1.0917
0.16028,0.10754,1.0115
-0.081299,0.20227,0.92834
-0.22766,0.12183,0.91248
-0.052856,-0.22681,1.0201
0.23511,-0.21082,1.0903
0.12085,0.11243,0.99402
-0.11499,0.23181,0.92834
-0.22571,0.081055,0.91614
-0.035034,-0.27661,1.0355
0.24841,-0.16736,1.0842
0.080322,0.11682,0.98096
-0.14868,0.25586,0.92786
-0.22339,0.043213,0.92761
-0.0064697,-0.32129,1.0417
0.24915,-0.10535,1.0779
0.041504,0.11755,0.96655
-0.18201,0.26843,0.91614
-0.1991,-0.006958,0.94629
0.030396,-0.34082,1.0574
0.24524,-0.038452,1.0596
0.011108,0.12695,0.95691
-0.20801,0.25391,0.91272
-0.17505,-0.046265,0.95972
0.075195,-0.33582,1.075
0.23645,0.019775,1.0464
-0.018433,0.14001,0.9436
-0.21777,0.23169,0.91223
-0.13855,-0.093872,0.97925
0.13477,-0.31604,1.0778
0.2085,0.0625,1.0332
-0.038208,0.16101,0.94092
-0.22412,0.19861,0.90283
-0.10144,-0.14343,0.99658
0.17297,-0.28369,1.0884
0.18848,0.094116,1.0216
-0.063965,0.17871,0.93188
-0.23645,0.15918,0.91125
-0.065186,-0.19666,1.0114
0.21777,-0.23999,1.0894
0.14319,0.10657,1.0032
-0.094971,0.21655,0.92981
-0.22424,0.099731,0.91248
-0.045288,-0.25146,1.0319
0.24231,-0.19141,1.0863
0.10217,0.11523,0.98804
-0.12891,0.23376,0.92407
-0.23279,0.064819,0.92432
-0.019165,-0.30005,1.0448
0.25208,-0.13062,1.0787
0.061035,0.11902,0.97498
-0.16101,0.26001,0.91833
-0.21619,0.018677,0.9342
0.006958,-0.33862,1.0555
0.25854,-0.074951,1.0734
0.026367,0.12122,0.96082
-0.19312,0.27112,0.91309
-0.1969,-0.022461,0.9491
0.046387,-0.34717,1.0636
0.24097,-0.013428,1.057
-0.0059814,0.13428,0.95361
-0.21216,0.24792,0.91101
-0.16187,-0.066284,0.96667
0.10583,-0.32971,1.0781
0.22156,0.040771,1.0374
-0.02771,0.151,0.94446
-0.22058,0.21631,0.90808
-0.12134,-0.11658,0.9856
0.15161,-0.30127,1.0839
0.19702,0.077148,1.0244
-0.051147,0.16492,0.93909
-0.22766,0.17761,0.91479
-0.082031,-0.16687,1.0042
0.19934,-0.26294,1.0903
0.16504,0.099243,1.0085
-0.081909,0.19556,0.92981
-0.22644,0.12939,0.91211
-0.057129,-0.22058,1.0184
0.22839,-0.2229,1.0903
0.13037,0.11377,0.9989
-0.10974,0.22168,0.92212
-0.23352,0.091553,0.91699
-0.033081,-0.27966,1.0377
0.24976,-0.16626,1.0831
0.083984,0.11707,0.98425
-0.14844,0.25061,0.92041
-0.22339,0.045166,0.92517
-0.012085,-0.32092,1.0471
0.25037,-0.10498,1.0763
0.049683,0.12183,0.96875
-0.18066,0.25525,0.91321
-0.21252,0.0091553,0.94202
0.026245,-0.33948,1.0574
0.24707,-0.043335,1.0654
0.012939,0.12561,0.96216
-0.19727,0.25452,0.90869
-0.18542,-0.037109,0.95715
0.064087,-0.34045,1.0719
0.23523,0.014648,1.0496
-0.016602,0.13464,0.94702
-0.21777,0.2373,0.90918
-0.15112,-0.082886,0.97693
0.12451,-0.3197,1.0802
0.21301,0.065674,1.0349
-0.03479,0.15833,0.94092
-0.2179,0.19141,0.90662
-0.10559,-0.13513,0.99475
0.16895,-0.28052,1.0906
0.18286,0.092041,1.0171
-0.066162,0.18396,0.93567
-0.22583,0.15527,0.91003
-0.072144,-0.18677,1.0089
0.21533,-0.24133,1.0918
0.14429,0.10864,1.0018
-0.092041,0.21045,0.93323
-0.22961,0.10925,0.91394
-0.047607,-0.24854,1.0229
0.2395,-0.19641,1.089
0.10364,0.11523,0.99341
-0.12524,0.24365,0.92371
-0.22437,0.06543,0.92358
-0.023438,-0.29395,1.0359
0.24377,-0.14075,1.0831
0.070068,0.11914,0.97534
-0.1626,0.25049,0.91833
-0.21948,0.028564,0.93958
0.0070801,-0.3291,1.0508
0.24841,-0.075439,1.0675
0.030151,0.12585,0.96716
-0.18884,0.2583,0.91321
-0.19702,-0.015991,0.948
0.041138,-0.34619,1.0665
0.24475,-0.019165,1.0579
-0.0020752,0.13184,0.95361
-0.21301,0.24707,0.90454
-0.16626,-0.060669,0.97156
0.1001,-0.33118,1.077
0.22351,0.04248,1.0393
-0.021606,0.14453,0.9458
-0.21973,0.21533,0.90735
-0.12781,-0.1062,0.98315
0.13928,-0.302,1.0858
0.20642,0.07605,1.0321
-0.051392,0.16321,0.93164
-0.22864,0.18372,0.90698
-0.092163,-0.15723,1.0034
0.19409,-0.26648,1.0887
0.16711,0.10229,1.0131
-0.071777,0.19482,0.93433
-0.22327,0.12756,0.90808
-0.058228,-0.21924,1.0214
0.22693,-0.21814,1.0907
0.1239,0.11609,0.99548
-0.10742,0.22559,0.92761
-0.23181,0.091919,0.92175
-0.029053,-0.27014,1.0314
0.24854,-0.16956,1.0833
0.083618,0.12134,0.98621
-0.14307,0.25366,0.92407
-0.22363,0.044556,0.92542
-0.011719,-0.32092,1.0468
0.25293,-0.1145,1.0768
0.043579,0.12073,0.96716
-0.17773,0.27124,0.91846
-0.20862,0.0037842,0.94019
0.019043,-0.34082,1.0559
0.24805,-0.050659,1.0696
0.011963,0.12451,0.95728
-0.20386,0.25903,0.91077
-0.18677,-0.034912,0.96033
0.072754,-0.3396,1.0667
0.23328,0.011597,1.0504
-0.011353,0.13623,0.95288
-0.21606,0.23315,0.90686
-0.14136,-0.087646,0.97534
0.11792,-0.31714,1.0823
0.21814,0.059448,1.0365
-0.036377,0.15271,0.94092
-0.22656,0.20105,0.91211
-0.104,-0.1322,0.99377
0.17749,-0.28882,1.0861
0.1842,0.091675,1.0203
-0.064453,0.18152,0.93311
-0.22827,0.15845,0.90747
-0.074219,-0.18994,1.0134
0.21191,-0.24426,1.0912
0.15503,0.1084,1.0081
-0.088867,0.2052,0.92542
-0.23718,0.12256,0.91614
-0.043701,-0.24036,1.0292
0.23877,-0.20081,1.0881
0.11023,0.11902,0.99341
-0.12439,0.2356,0.92236
-0.22693,0.070435,0.9209
-0.024536,-0.29529,1.0427
0.2522,-0.14526,1.0834
0.068848,0.11768,0.97852
-0.15979,0.255,0.91699
-0.22107,0.029297,0.93237
0.0042725,-0.32922,1.0562
0.25256,-0.084839,1.0688
0.028687,0.12366,0.96753
-0.1842,0.26184,0.9165
-0.2019,-0.014038,0.94373
0.040161,-0.35291,1.0629
0.24634,-0.020752,1.058
-0.0059814,0.12817,0.95093
-0.20837,0.25928,0.91174
-0.17004,-0.060181,0.96558
0.091064,-0.34192,1.0757
0.22729,0.031494,1.0443
-0.029907,0.14575,0.94434
-0.22327,0.22498,0.91016
-0.12354,-0.10632,0.98572
0.14771,-0.31116,1.0861
0.20007,0.073975,1.024
-0.050171,0.16724,0.93994
-0.2218,0.18018,0.9082
-0.091797,-0.1582,1.0027
0.18677,-0.26746,1.0907
0.17334,0.098999,1.0146
-0.071655,0.18774,0.92957
-0.22998,0.1394,0.91211
-0.056763,-0.21399,1.0183
0.22522,-0.224,1.0917
0.13025,0.11621,1.0016
-0.10596,0.22253,0.92517
-0.22522,0.092529,0.91992
-0.033936,-0.26855,1.0298
0.24097,-0.17114,1.0872
0.094971,0.12036,0.98962
-0.13708,0.24243,0.91809
-0.229,0.053955,0.93127
-0.012695,-0.31433,1.0457
0.25159,-0.11633,1.0737
0.047852,0.12341,0.97681
-0.17236,0.25769,0.91443
-0.21606,0.0090332,0.93311
0.01709,-0.34888,1.0663
0.25183,-0.052856,1.0627
0.014526,0.12195,0.9563
-0.19763,0.26025,0.91296
-0.19128,-0.032471,0.96008
0.065308,-0.34338,1.0706
0.23523,0.0064697,1.0493
-0.011475,0.13538,0.95251
-0.20728,0.23181,0.90869
-0.15576,-0.074463,0.96741
0.1051,-0.32617,1.0874
0.22986,0.054565,1.0391
-0.041016,0.14441,0.9353
-0.21802,0.21143,0.91003
-0.11121,-0.12976,0.98926
0.1709,-0.29224,1.088
